ACC,ARI,NMI,dataset,method,known_cls_ratio,cluster_num_factor,seed,train_batch_size,learning_rate,K
89.63,84.23,94.0,clinc,DKT,0.7,2.0,20,512,0.0001,45
87.11,81.41,92.55,clinc,DKT,0.7,2.0,21,512,0.0001,45
87.41,81.39,92.57,clinc,DKT,0.7,2.0,22,512,0.0001,45
89.78,83.73,94.23,clinc,DKT,0.7,2.0,20,512,0.0003,45
91.11,84.76,93.68,clinc,DKT,0.7,2.0,21,512,0.0003,45
88.0,81.69,93.02,clinc,DKT,0.7,2.0,22,512,0.0003,45
92.44,87.5,94.84,clinc,DKT,0.7,2.0,23,512,0.0003,45
85.78,77.27,91.01,clinc,DKT,0.7,2.0,24,512,0.0003,45
89.33,84.48,94.19,clinc,DKT,0.7,2.0,25,512,0.0003,45
90.81,86.86,94.87,clinc,DKT,0.7,2.0,26,512,0.0003,45
88.0,83.16,93.29,clinc,DKT,0.7,2.0,27,512,0.0003,45
90.67,85.27,94.07,clinc,DKT,0.7,2.0,28,512,0.0003,45
84.0,76.84,90.74,clinc,DKT,0.7,2.0,29,512,0.0003,45
90.89,85.94,94.4,clinc,DKT,0.8,2.0,20,400,0.0003,30
96.44,92.94,96.69,clinc,DKT,0.8,2.0,21,400,0.0003,30
93.78,89.1,94.9,clinc,DKT,0.8,2.0,22,400,0.0003,30
92.0,88.13,95.14,clinc,DKT,0.8,2.0,23,400,0.0003,30
96.44,92.97,96.49,clinc,DKT,0.8,2.0,24,400,0.0003,30
91.56,86.3,93.8,clinc,DKT,0.8,2.0,25,400,0.0003,30
96.44,92.94,96.69,clinc,DKT,0.8,2.0,26,400,0.0003,30
97.11,94.37,97.33,clinc,DKT,0.8,2.0,27,400,0.0003,30
92.22,88.38,94.78,clinc,DKT,0.8,2.0,28,400,0.0003,30
91.11,87.81,94.7,clinc,DKT,0.8,2.0,29,400,0.0003,30
79.56,69.62,84.34,clinc,DKT,0.9,2.0,20,512,0.0003,15
84.44,75.42,88.29,clinc,DKT,0.9,2.0,21,512,0.0003,15
93.78,87.53,93.14,clinc,DKT,0.9,2.0,22,512,0.0003,15
96.0,92.18,95.71,clinc,DKT,0.9,2.0,23,512,0.0003,15
97.78,95.16,96.97,clinc,DKT,0.9,2.0,24,512,0.0003,15
90.67,83.77,90.55,clinc,DKT,0.9,2.0,25,512,0.0003,15
96.44,92.58,95.71,clinc,DKT,0.9,2.0,26,512,0.0003,15
94.67,89.05,93.48,clinc,DKT,0.9,2.0,27,512,0.0003,15
88.89,83.45,90.66,clinc,DKT,0.9,2.0,28,512,0.0003,15
87.11,78.97,88.8,clinc,DKT,0.9,2.0,29,512,0.0003,15
67.5,52.7,64.6,banking,DKT,0.9,2.0,20,400,0.0003,8
70.94,58.99,70.16,banking,DKT,0.9,2.0,21,400,0.0003,8
81.25,66.74,73.55,banking,DKT,0.9,2.0,22,400,0.0003,8
69.69,54.31,66.11,banking,DKT,0.9,2.0,23,400,0.0003,8
81.56,68.08,75.4,banking,DKT,0.9,2.0,24,400,0.0003,8
77.19,61.13,71.19,banking,DKT,0.9,2.0,25,400,0.0003,8
80.94,65.43,73.98,banking,DKT,0.9,2.0,26,400,0.0003,8
74.69,53.87,65.43,banking,DKT,0.9,2.0,27,400,0.0003,8
71.88,61.62,72.6,banking,DKT,0.9,2.0,28,400,0.0003,8
71.56,58.84,68.6,banking,DKT,0.9,2.0,29,400,0.0003,8
68.44,59.21,77.85,clinc,DKT,0.9,2.0,42,512,0.0003,15
